pkid,name
f09a7a6d-36ba-4c3e-837f-7f59297fb43b,FXF-KPT-rl
7db47f30-a0cc-4c60-8649-3f684b99f9a3,FXF-CJE-rl
48541647-3043-4c32-9bb7-45e01f9036db,FXF-BNH-rl
1dce9453-abf5-4ab2-9c7a-a7770eccbb13,FXF-NPL-rl
5ea8fb77-dc62-4644-a94c-ead2da399357,FXF-WWV-rl
27824f65-0b9f-4edf-9ddc-b6e49cd17a1e,FXF-LBL-rl
ffea41aa-15c8-43ce-b6a9-447b8c7cd056,FXF-SHV-rl
a9ead96d-167f-4d0c-82dd-929088d3d0ad,FXF-FXCC-ATTLOCAL_rl
968aa30f-0e5b-4f0f-994a-5dc9d9b769f4,FXF-FMY-rl
26c86644-19af-466b-a5a2-2b260989585f,FXF-CLX-rl
937107b3-07c4-491d-bbf6-bcc814c5ee0b,FXF-LVW-rl
bab33228-ed11-40b9-898c-1ab0757ec914,FXE-FIELD-A-NZJA-rl
98b1d8c0-6fa5-4a04-9cf3-71ecd345f9ac,LD_system_rl
ef0f21b0-8358-45fd-9efe-9dbe57d9ff40,FXS-FIELD-MCODC-LD-TEMP-rl
00c9f803-fc68-49f3-b756-915789472db3,LKSA2_local-T1_rl
12212f65-2aec-4457-bc12-5ad07140a7ff,SHVR_Local-T1_rl
2225650e-644c-4b06-9779-077ae1a4368a,IADVK_local-T1_rl
2e15357f-069b-45a3-955e-fec72ef1a6f8,FXE-FIELD-A-MFRA-Paging-rl
d44d7f7f-23a0-4dd3-bfdc-4c585b2aaf33,GUPA-Local-RL
ac512170-0b90-4723-9181-edf9745b5aaa,SLRG
44cfab4a-bdcd-4009-995a-b7b1b4dd5dfb,FXE-FIELD-A-PLBA-Paging-rl
c3915cd5-e018-46d1-be37-0928f7958d72,ROCA-TESTING
2c6de3ad-4291-4f9a-907a-8e4367e8a6ec,NQAA_Paging_rl
efdd8c79-24bb-4e27-ac06-d218bef272d5,SBAA_Paging_rl
d1c6f3ee-230e-4006-8270-4ed73a003992,FXE-FIELD-A-MGEA-Paging-rl
0287ac54-641d-42ba-a40a-8fed23ea5554,OMAR_local-T1_rl
cf31b886-de1e-4b76-8c08-5f91e05c5cf1,PSPA_local-T1_rl
6c3d4922-5b06-495b-8b08-651878f37e02,Local_system_rl
0aadec4b-0eb4-4a1e-85d2-bd1385cc1f53,LASA2_local-T1_rl
3176ba91-e6b8-45a6-9dc5-4a40681df347,NXXA_Paging_rl
cb9acb99-769a-4029-b3ee-c0358ae8bc87,mgea-test-LD-RL
c1736233-0dc6-46ef-bcd0-74973de6bdcc,FYVA Block Caller ID
d556e9c1-5441-46ae-990a-ba8530b90a3e,FXS-SME-VZB_rl
fbc0302b-cc67-4fbb-8b24-a787243ccca5,FXE-FIELD-A-LNAA-Paging-rl
eb489485-76c9-4dbe-8148-c27e4cebe49f,FTYE_FXO_rl
90010941-85fc-482a-a833-8dee3e8c0ff9,FXE-FIELD-A-WRIA-8569332166_rl
088326eb-cd4d-4ad2-82e8-f59ea8ccd14f,GEGR_local-T1_rl
18fd3065-e435-40d6-8c01-c73f16521d83,FXE-FIELD-A-DABA-Paging-rl
cc603c0c-746b-48eb-95fd-ff098319f935,MRIA_Paging_rl
4454d388-9c7b-4db5-b1bc-4402abd690c4,FXE-FIELD-A-HYAA-Paging-rl
945057af-6fab-4b57-859a-970b865d59fc,WTCA_local-T1_rl
6030dfb1-36c3-4785-8d56-2f3f5681253b,JREA_local-T1_rl
90f25e25-07ab-4b19-b988-aa6568171dbb,ORDR_local-T1_rl
29b76a27-916c-4524-acd3-99f0b5c1c394,CDCA_FXO_rl
7e8e65c4-9225-4677-80ef-236c4001bf4f,BNAA_local-T1_rl
9af7c824-4fe6-4ad9-a1c6-5eaeefd87ba0,International_system_rl
9393a79e-64a2-4398-9952-5a53b5915ff2,SANA_local-T1_rl
6ba914b2-919c-45fe-a967-d57a1eb33a9a,LASR_local-T1_rl
6713493d-ade7-4e74-b0b3-8880eb8a92cd,FXE-FIELD-A-MMUA-Paging-rl
620542a4-6b89-4f57-bad3-bf774d9b3afb,BNAA_Paging_rl
43be9ea0-94ad-4196-97f3-fee818896250,FXE-FIELD-A-GRRR-Paging-rl
1ef9ae82-6b99-4807-8dbc-fd784a5594cf,DCLEG_local-T1_rl
b1ccf532-dccc-4559-bfd6-b7e3740dcd2e,LBEA_Paging_rl
e867a8fd-80ff-47c6-bb99-8e46bfc8a71f,FXE-FIELD-A-BLMA-Paging-rl
c7fd0c10-caf7-4502-9ade-5cd748f23704,FXE-FIELD-A-LALA-Paging-rl
1ddc374c-b7c2-45ba-9c30-b711804b6945,FXE-FIELD-A-AGSA-rl
c38cf1ca-8f05-4af7-b097-5c08cab84749,GNVA_Paging_rl
5f478079-f9f3-427f-b403-2c9b55b29bc4,NYCSL_local-T1_rl
8ce6134b-c3ab-43cf-89d7-18119fa16396,FWAR2_Local_2_rl
77de7f54-d6cb-4625-9370-6c5a6f2d0fcd,FWAR2_Local_2_rl
53a5301c-0c72-4940-9534-916b185451f2,SBAA_local-T1_rl
753ac7bf-50cf-45aa-9fb7-525bb19b85bf,SNAR_local-T1_rl
7f15d4b6-301d-4c87-89f6-9fa77aae0c6b,FXE-FIELD-A-DCAA-911-rl
a88db435-9762-415f-ac10-7389e18f212c,FXE-FIELD-A-PVDR-Paging-rl
4637c72a-cdf2-43d8-bee0-72746b614d4c,LBEA_local-T1_rl
16f80fcb-1db8-44f4-b557-9a582a91bab1,MRIA_local-T1_rl
47afa719-8796-4957-9967-888032cadbe1,FWAR2_Local_1_rl
b61a9c04-0e68-4118-82a8-4278f2ae21e9,FXE-FIELD-A-PLHR-rl
