pkid,fkdevicepool,fkregion
254a451f-b9ec-431e-8678-a8bb33b99544,2eca0dce-3f83-49c6-b9ec-82fde5d1f6a2,bbecfe14-bd22-59e5-56c2-2a1906760680
d0ec5a08-e2cc-4ff1-878c-ba7eae3a5f60,2df72092-3716-f8c4-9586-f5a0846a284f,863d5a50-2248-9ad2-a197-777db1bb6b4a
f2098446-29c6-442e-8010-503305e76b3b,30cf66d4-6f11-4c2c-a31c-0e77a7e43943,166762fd-7d7d-c0d4-794d-7dfc6a77e136
ab6ef814-9b61-4f8b-90e5-9404c74cd08a,219557c9-9bba-46df-84b3-45905b301529,a2a81194-7718-051f-baa4-9dc4291ce04d
65ac5bd9-68a9-49eb-a7a6-93d5aee7ccd1,225d8e10-6ef3-47ce-96ca-4feb672b5a1f,c3439f10-a9cd-9837-563f-e2a7c4af4675
6ff6991a-5673-44a1-93c8-1d006dff5418,257c325e-f6b4-bd32-7b5a-8e329d603f1c,dccb7cdd-12ba-05bd-41ba-5bc8be9eb799
41c4a5b4-c87e-4d35-85e5-32d97472f381,241d5dc6-f0e8-4ee3-83dd-4f5967ae57b3,3217651b-8d5b-fd71-aad0-4943ef7c0d73
51f2b1e7-c925-431c-83b7-d5b9e4d6fb0a,2611cbc3-f8d0-4e21-96a9-b7765e13da45,32cbf64f-3c24-c202-45a1-09d395189b4e
16124700-ae23-4ea7-bd78-d0cc9f98787d,2298c6ff-a803-4dd1-a5d0-c1a20a1f1fb1,76eb6ef7-301f-165e-34ca-024508e6c071
166ff297-da47-454a-a173-f98ffa422dd4,31b44976-762d-43c1-b5bc-ebb1dcc3c86c,26f069f9-a86b-2388-cead-b1d2d7d32806
637c72a9-9cd4-4b91-b261-0af95ff09dd4,415bd810-248e-0ef8-1397-52b5ecad391e,9b278f1c-235d-d1d5-0b8c-8625b4507014
7106f231-b10b-404c-b5b4-cb8e10c2087e,3d700b84-cf01-4cf7-9e9b-4998ed4151d4,c22ea320-6e01-cb18-5296-c660e78a3472
