pkid,fkdevicepool,fkcallmanagergroup
bc0ecd35-3a8b-46af-8609-666748d11ac3,2df72092-3716-f8c4-9586-f5a0846a284f,e64d226d-1d88-a330-ae45-a66bd201b031
e6f139d8-4269-4fb3-bfeb-0bfeaeeee60f,30cf66d4-6f11-4c2c-a31c-0e77a7e43943,e64d226d-1d88-a330-ae45-a66bd201b031
329148e7-af79-4e8c-a4ef-3103d58f7598,219557c9-9bba-46df-84b3-45905b301529,70c197ba-8951-14ad-a270-b32053663da9
500ded90-3315-48d4-ae7d-03bf1769e9d0,225d8e10-6ef3-47ce-96ca-4feb672b5a1f,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
764df444-e486-48ec-8fed-c351cf791c74,257c325e-f6b4-bd32-7b5a-8e329d603f1c,e64d226d-1d88-a330-ae45-a66bd201b031
8043c862-2fa8-4fdb-bbf9-cb868991f99e,241d5dc6-f0e8-4ee3-83dd-4f5967ae57b3,70c197ba-8951-14ad-a270-b32053663da9
892ca478-32be-4d48-9865-ba3f96f61791,2611cbc3-f8d0-4e21-96a9-b7765e13da45,70c197ba-8951-14ad-a270-b32053663da9
d9c21168-2aba-4409-be6e-a5c27925db71,2298c6ff-a803-4dd1-a5d0-c1a20a1f1fb1,70c197ba-8951-14ad-a270-b32053663da9
5dd7ee51-d6cb-4a1d-a13a-c2e502c15515,31b44976-762d-43c1-b5bc-ebb1dcc3c86c,e64d226d-1d88-a330-ae45-a66bd201b031
c28ac916-adf0-4169-bd78-73047190a1c2,415bd810-248e-0ef8-1397-52b5ecad391e,e64d226d-1d88-a330-ae45-a66bd201b031
81c7582e-8778-47b0-afcf-0870116f7189,3d700b84-cf01-4cf7-9e9b-4998ed4151d4,e64d226d-1d88-a330-ae45-a66bd201b031
44828586-2ac1-4c5d-9475-055487c62a6d,3f170828-cb6a-42ff-b8a6-d12163a28233,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
256a4bef-5e0a-43f7-be7d-cfa4b78158e4,2cb2f9b4-f5a4-4404-aac7-0c199ae34a01,70c197ba-8951-14ad-a270-b32053663da9
989bb435-8b52-4a86-ae60-1b6260836111,275bfbb2-b97c-4cb8-b2ff-d9cbe56d45a1,70c197ba-8951-14ad-a270-b32053663da9
0c77d5bb-abf8-463a-b555-16ca9b52952d,2d2ab2d2-9b73-431a-9cde-21ed2d0bd06b,70c197ba-8951-14ad-a270-b32053663da9
912002dc-ff9a-4478-99e4-2ce2226878e2,2d3bf2ea-2842-43e6-a40e-6e3235662dc4,e64d226d-1d88-a330-ae45-a66bd201b031
b5c9f2ab-7aa7-46d9-900a-b160b3376989,2ba58c8f-ac43-49be-90d0-17bbf22cc2eb,70c197ba-8951-14ad-a270-b32053663da9
463b332a-c800-40d3-b35e-5add7fae1744,2ba39179-68ef-41fb-935f-042f45f5ab8a,e64d226d-1d88-a330-ae45-a66bd201b031
411e1bc1-8136-413f-b3db-2d2db4de866a,3d5320ec-70eb-2fc1-ee7a-24bf099c4304,70c197ba-8951-14ad-a270-b32053663da9
5ca51771-2af1-4d8c-8ef9-6991b471447b,3f033265-c166-4e27-8b58-cfeaaf3518de,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
2aa9f692-d03c-48f5-bff8-268791a25e3d,4033130b-de42-b9ad-f73c-9a19332efe19,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
1a9b5926-8b00-4f5d-bdbd-62120ebe9a26,46be71c8-d9ff-d8a3-d411-571f8abda45a,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
5573332a-23a0-4a40-b359-53939d03d2d0,2dd75d87-961e-46da-824a-9ef30cfa0f88,70c197ba-8951-14ad-a270-b32053663da9
f426ab84-f539-4fff-ba0e-03cad6ad3771,3019d70b-b5fe-43b6-97d8-b26859b9495d,70c197ba-8951-14ad-a270-b32053663da9
dd7deea6-2509-47e0-9ecf-496110eeeb1a,2dd6a3e4-3630-4848-88d5-74801ccdd6d4,70c197ba-8951-14ad-a270-b32053663da9
860cc62b-44cf-4e19-84c6-f75748f0e8e1,2e0e86fd-0c4d-4e9c-a9a2-5ad59afacc61,8578e802-08ab-1d2b-e599-c3b247d9165c
6f62562c-ddcc-4883-aa08-2c3ca0c4e956,3062c528-7dc0-45e8-975a-05d7845bae72,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
89e2c88a-17b8-43a2-bf01-7174d5771f18,41d38d6f-54b9-49df-9c15-edb057664664,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
3b0a9f07-fa84-4486-bedf-af904eda8803,43ac2bcf-ab3c-489e-aaa5-0b98b842c00d,70c197ba-8951-14ad-a270-b32053663da9
ec71be18-553b-4abe-9321-16cdcaf568d3,4488522a-f080-4a33-a1f8-2f9adcb664f6,70c197ba-8951-14ad-a270-b32053663da9
76ff2b0c-dd47-4db4-8ad1-04b927d06c8a,4350276e-4af3-418f-99c7-87dd18c2f35c,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
6bf54431-904a-42bb-8f24-3800440d6fc9,417cc726-3c85-4c26-b2a0-dc6921bdcde1,e64d226d-1d88-a330-ae45-a66bd201b031
3c299065-e1b2-40be-b769-558d21b16e59,424864ed-c344-baef-5b0e-0c85ccb7b7c4,e64d226d-1d88-a330-ae45-a66bd201b031
