pkid,name,description,dialplanwizardgenid,clause,resettoggle,tkreset,tkpartitionusage
7dfa2c6b-ccb9-80d2-3853-e89f670d85a5,FXE-FIELD-A-LEEA-APP_css,LEEA CSS Applied to the phone lines and Gateway,,BLOCKED-GENERAL_par:FXE-FIELD-A-LEEA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
a99ac561-96c4-8995-9bea-9d26af2f62e3,FXE-FIELD-A-LOGA-APP_css,LOGA CSS Applied to the phone lines and Gateway,,BLOCKED-GENERAL_par:FXE-FIELD-A-LOGA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
2e8225d2-ac64-cba5-36f4-295bfe091564,XFORM-APFA-MGCP-DNIS_css,APFA Applied to site gateway configuration in CUCM,,XFORM-APFA-MGCP-DNIS_par,f,2,99
7fcae979-1edf-fee1-1c16-5e145359d656,FXE-FIDA-911_css,911 for FIDA,,NA-911_par,f,2,99
d8b14ef2-3956-538f-7ada-24f86f2d261a,FXE-FIELD-A-BTMA-APP_css,BTMA CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-BTMA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
32bcdb5c-53f3-d9a5-2510-b9c5911e4245,FXE-PDXRT-Local_css,FXE-PDXRT internal and local calls,,FXE-PDXRT_internal_par:NA-Local_par,f,2,99
2d098c8e-5d4f-408c-2dc8-00ffeb5df219,XFORM-BNHA-ANI-OUT-css,Applied to site gateway configuration in CUCM,,XFORM-BNHA-MGCP-ANI_par,f,2,99
5ddba784-e909-2612-89f9-a862988b2f7c,FXE-FIELD-A-SRWA-APP_css,SRWA CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-SRWA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
75fbc91a-3603-c9d7-c247-82a267179736,FXE-FIELD-A-JVIS3-APP_css,JVIS3 CSS Applied to the phone lines and Gateway,,BLOCKED-GENERAL_par:FXE-FIELD-A-JVIS3-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
100cb0ff-7945-5f54-b128-5d571168e435,FXE-FIELD-DLDWK_International_css,DLDWK International css,,FXE-FIELD-DLDWK_internal_par:NA-Local_par:NA-LD_par:NA-International_par,f,2,99
86686765-a056-9378-2955-1384c34588cb,XFORM-ICTR-MGCP-DNIS_css,Applied to ICTR site gateway configuration in CUCM,,XFORM-ICTR-MGCP-DNIS_par,f,2,99
f06cb1dd-f0c2-51ae-d1d7-e81271bd8f84,BLOCKED-LD-css,"""Block INTL, LD, and Ent Policy""",,BLOCKED-GENERAL_par:BLOCKED-LD_par:BLOCKED-INTL_par,f,2,99
8da4d457-6922-50fc-33e8-9861742c53e7,XFORM-ARXA-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,XFORM-ARXA-MGCP-DNIS_par,f,2,99
67c8fc24-67d9-957b-e702-949fa9eb04a3,FXE-FIELD-A-QFEA-APP_css,QFEA CSS Applied to the phone lines and Gateway,,BLOCKED-GENERAL_par:FXE-FIELD-A-QFEA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
eedba8d6-2404-b398-deb4-1325914d1c2c,XFORM-SEAA-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,,f,2,99
c774c3e0-f59d-0012-0d53-30df485c4dd1,XFORM-LGUA-MGCP-DNIS_css,Applied to LGUA site gateway configuration in CUCM,,XFORM-LGUA-MGCP-DNIS_par,f,2,99
502d7451-9df7-6089-a8bc-c09205b75144,FXE-MOTA_911_css,911 for MOTA,,FXE-MOTA_911_par,f,2,99
cf2be461-327b-7386-a764-a2a4e57221e8,XFORM-CAOA-MGCP-DNIS_css,Applied to site gateway configuration in CUCM,,XFORM-CAOA-MGCP-DNIS_par,f,2,99
