pkid,fkroutegroup,selectionorder
da9df633-f3c8-22c2-736f-0b59547deba2,aa908b76-ccff-449c-fbaa-79040be2d991,1
de420d5c-f93b-4446-59bf-ea9323eec849,8fd007ee-3406-f235-3332-8ae4a13eb47b,1
de6172ef-4a94-b085-81ac-92dafaf78e3f,761a41a9-24ba-ef6c-5c7c-9150d46d8e5e,1
df37fa2a-4b82-de6f-6f5f-e6523be7c2f1,1ce346e9-febd-9520-9c41-c4960f8fc8b4,1
e1415e9b-89fa-8c11-7656-adeef2af37c6,14f56ddc-b393-3c53-64a8-50bf9ed7c76f,1
e1efc688-c12a-ff60-a268-fc891d75c514,2b9a9b66-7ffe-fab0-86d2-3bf09120770b,1
e24ef652-f7dd-b984-0656-6429c95be7f2,99e51c19-8c0c-6813-00d4-4923f9507dbf,1
e3559451-5ae2-4cf7-7a25-2574e7d94a97,75f764c1-df3e-b5d5-912b-96583e6ad328,1
e45fb118-9bfc-79a5-e053-7efea2af5580,d144dc39-f1fd-8439-811e-3b48fec96e54,1
e47081df-5f33-0991-cd91-909c2ddfe5ca,60176b5f-d2af-af0b-4386-1ee20b649b45,1
e4ba61a5-14d1-ba4c-8896-345333921636,82710b89-cc85-335d-dce4-fad642ca20f6,1
e52dd894-a4eb-8d60-b887-6c1a4ec8dda8,3c80dc19-d4ce-48b8-4958-47ab916bc22b,1
e53d4135-5c79-b12b-9366-0bc429ad8dcd,42342aca-2950-1786-66c8-246fa611f43f,1
e87e4db6-07b8-217c-a61a-918209456f80,2a2bcd70-8b28-fde4-c49f-91e1e07b355e,1
e880ae38-dcc1-dbb9-b8a0-d787651f9915,4c247bd7-55cd-64df-6beb-8723d4d099f5,1
e9162265-4ea1-03fc-e92f-20d988e0d430,2b4316b6-4a0e-70e1-ee42-1baf5c366466,1
e92cf2cb-b9ce-2820-7366-f7c3e84d3ad0,cd1511fe-7e00-68ca-31a5-a17e4ac90218,1
e9c81d1d-6818-160e-59cb-bee5f599ce83,57562e23-8bac-afff-575c-4e28f67d41f1,1
ea186491-402f-e4a4-99b5-415708ace322,69c92a65-122c-fdc0-8081-81de478b3720,1
eac53e38-ed74-f286-ebbb-d81cc024d208,23420026-0262-b60e-a92d-4321ca94ffde,1
4770a16e-1b69-45b8-9193-8a5db73f6680,89ac7bd6-aac2-1e4e-192e-77eb142aa7ac,1
eb9eef54-4afb-f32d-95f5-63299ae6dcda,a87594f8-9198-26da-c0aa-a69200733da5,1
ec1e2c8b-3e76-59bc-d9c2-39a1bbaf0292,8544aa89-5e87-97e0-e02e-f5df9823a756,1
ece1e792-ed44-12d8-49e1-f9e91beebdc1,c22df0c5-6e0f-d62a-6d08-b72f148691e1,1
ed09d67d-f5ef-5e06-742e-f1416f3eb6bf,85607282-1166-087f-0a4c-6912ab61b732,1
ed0add44-bb52-cd2d-a456-8172a9148d64,b77fd5bb-1fb3-b415-b8b4-45ec8e7300a5,1
ed26ea94-6c03-9487-5cac-c6887e959118,d1b7684c-290e-aa9d-3c90-3ee2c3bf0f77,1
ed8a988a-0417-3eb1-2db4-df2b9eae98ee,ea159368-097e-4914-3c90-7d05ca5e7ab1,1
8260d8c2-5421-4dd2-ae36-6ca3af81da75,6427dc02-8dc6-98e4-1210-0e7572cdfa69,1
eeb23896-f586-9f7e-e815-603c863be104,a2b9541d-fad3-1afe-aaf1-0e31e772f4e4,1
eebbac9b-5b70-04a2-d581-c46633a7586b,c5799dd8-5139-af3a-5b21-f581938f4d71,1
ef60b26d-cb9e-8f31-fd84-fa010ff07fc7,ef81672c-0c6d-496c-2af2-4a161ea56d5e,1
ef70b3d9-594e-556d-f9e4-2128eaa596ee,7c3c5e73-f007-fa4e-4cb6-796a797c9fa4,1
f10968d7-7bdd-a669-e6eb-304d26166d39,9f443315-dba3-e123-5193-dff63dc91630,1
f24895fe-d684-f5c0-6035-d330bac5564b,1799e418-0b4d-8e6c-83b8-4fa71b267128,1
