pkid,name,description,dialplanwizardgenid,fktimeschedule,tktimezone,useoriginatingdevicetimezone,resettoggle,tkreset,tkpartitionusage
28fb3abd-b345-4f7c-8655-8aa0312ef7a1,FXE-FIELD-A-JOTA-APP_par,JOTA Site Specific Dial Partition,,,22,t,f,2,99
90724ee5-292a-4660-910e-1146354d066e,XFORM-PRIA-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
e37fb363-92b5-4bad-b06b-74557181f869,FXE-DRTA_CngPTP-xform-OUT_par,FXE-DRTA CngPTP OUT Transformation Partition,,,22,t,f,2,99
20cba1fa-b9d9-4958-834e-b700e0718fe0,FXE-FIELD-A-MHTR-APP_par,MHTR Site Specific Dial Partition,,,22,t,f,2,99
ed012857-1c5b-4746-9dbd-ca52c2c5e5e7,FXS-FIELD-A-RKWA-INTERNATIONAL-par,FXS-FIELD-A-RKWA-INTERNATIONAL-par,,,22,t,f,2,99
61cf8688-bf83-480c-a985-6d7f9f33fa02,XFORM-ATLR-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
377b8884-1ad0-4b4c-a156-e3bfa3f24919,FXE-FIELD-A-LAXT7-APP_par,FXE-FIELD-A-LAXT7-APP_par,,,22,t,f,2,99
06063e2e-f099-45df-af9e-03f62d110ea2,FTYE_911_par,FTYE_911_par,,,22,t,f,2,99
99f36ab2-c659-40b1-b7f8-52859843b63e,FXE-FIELD-A-FNLA-APP_par,Site specific partition,,,22,t,f,2,99
c3c42781-633e-43eb-8857-7dcb72067f33,FXE-FIELD-A-BLIA-APP_par,BLIA Site specific partition,,,22,t,f,2,99
7ec31f57-fac9-4c75-8c05-9d45b9f23bd8,PhoneRepStaging_pt,Partition For Phone Replacement,,,22,t,f,2,99
b10e5d6d-969a-46c1-a798-1b4f4bea1679,XFORM-GRRR-MGCP-DNIS_par,GRRR Contains per-site Called Party Transformation,,,22,t,f,2,99
a335cf56-c9e3-4585-a093-91585bc51e24,XFORM-AMAA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
09df44c2-7706-4e1a-a6bc-e11b2139fca2,NXXA_CngPTP-Xform-GW-IN_par,NXXA Gateway IN Transformation Partition,,,22,t,f,2,99
112686a8-a51b-4e8b-bd4e-17358022f5f2,FXE-FIELD-A-EARA-APP_par,EARA Site Specific Dial Partition,,,22,t,f,2,99
70b4ae1c-34d7-4cc0-aa40-0bb5829e231b,XFORM-CCDA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
c4da2960-b162-482e-9645-f7e6c2325934,ODWA2_PSTN_par,ODWA2 PSTN partition,,,22,t,f,2,99
17729673-f850-4ccb-8107-d3f87e2fa685,FXE-FIELD-A-HIOA-APP_par,Site specific partition,,,22,t,f,2,99
800564c3-d7da-440d-87ea-bbb065a7a1ab,FXE-FIELD-A-TULR-APP_PLAR_par,PLAR for RESTRICTED PHONE,,,22,t,f,2,99
fed40c90-7685-401d-a893-4334cad7f4aa,XFORM-MPBA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
3fa838c3-affe-4f62-8360-c961a2b74caf,XFORM-FAYA-MGCP-ANI_par,FAYA Contains per-site Called Party Transformation,,,22,t,f,2,99
d0c57139-dd51-4f8b-8a8c-9c2da53d2961,DCLEG_CngPTP-xform-OUT_par,DCLEG CngPTP OUT Transformation Partition,,,22,t,f,2,99
5aeb4455-7c6b-4a35-8ca0-64a886430116,FXE-FIELD-A-DBQA-APP_par,Site specific partition,,,22,t,f,2,99
ae5e0215-b0c9-40db-acf0-8ed6aa31b37c,BLOCKED-INTL_par,Explicitly Block International PSTN Numbers,,,22,t,f,2,99
31a42c59-1020-406f-b143-e26afd7438aa,XFORM-SCKA-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
4e5af433-5000-4f88-889f-284e747b5385,XFORM-SOWA-MGCP-ANI_par,XFORM-SOWA-MGCP-ANI_par,,,22,t,f,2,99
430ae3e2-f434-4b86-bab2-50baaf4de9ef,FXE-FIELD-A-TIKA-APP_par,TIKA Site Specific Dial Partition,,,22,t,f,2,99
d133bedf-5f94-4e8a-b752-8be264a5a75a,XFORM-BWIVM-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
050229a5-b7b4-4dab-8613-422ecbc6692e,HLNA_CngPTP-Xform-IN_par,HLNA CngPTP IN Transformation Partition,,,22,t,f,2,99
a042aa07-6f34-420f-8e8f-9623c4e36a63,XFORM-LGCA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
4d924f12-259c-47b3-990a-8ecf3e3b458a,MTJA_PSTN_par,MTJA PSTN partition,,,22,t,f,2,99
2c302963-2dcd-4848-8a30-fd64c9f4b070,XFORM-0502-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
17b790e0-2150-4005-9326-4b98df850d0e,FXE-PIRA_PSTN_par,FXE-PIRA_PSTN_par,,,22,t,f,2,99
579d6e10-2e6b-4f45-a8ed-adb6f88158ef,FXE-FIELD-A-LGAA-APP_par,LGAA Site Specific Dial Partition,,,22,t,f,2,99
a1b168b5-4a6d-4f23-bf88-70b58f8498aa,FXE-FIELD-A-LASR-APP_par,FXE-FIELD-A-LASR-APP_par,,,22,t,f,2,99
615dc6c6-3f8d-41ec-aa1d-8f5451f7461c,XFORM-AVPA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
6a73ceb6-9534-4888-98f0-79bc9ed4b683,FXE-FIELD-A-PDXRT-APP_par,FXE-FIELD-A-PDXRT-APP_par,,,22,t,f,2,99
421d429a-332a-4c61-ac99-9e10d30c9b61,FXE-SGUA_CngPTP-xform-GW-OUT_par,FXE-SGUA Gateway OUT Transformation Partition,,,22,t,f,2,99
14f001f6-eebe-420a-b929-e44f088a066a,FXE-FIELD-A-PVDRHOT-APP-par,PVDR to HOTLine,,,22,t,f,2,99
213af331-606f-4332-a576-bfd8e0ba1eaf,FXE-FIELD-A-JVLA-APP_par,Site specific partition,,,22,t,f,2,99
983d0a8d-4a3c-4882-a474-18474272468f,FXE-FIELD-TWFA_CngPTP-Xform-IN_par,FXE-FIELD-TWFA_CngPTP-Xform-IN_par,,,22,t,f,2,99
