pkid,fklinegroup,selectionorder
57305398-c7bc-ce7a-bc25-364c6a47d414,a8e88b9b-7dab-f64d-e38a-caf37d5c4113,1
587712b4-6dab-13c4-3c88-f9d74d0d9e27,253b073b-378b-c0fd-0153-9e1dcedbc0b2,1
5883a132-410f-6ecc-c078-7438585b2ead,ba414a01-4b20-8e96-1a11-1d8690787f40,1
58a1d541-472d-6e3a-75ee-e2fcb76d9c19,88437191-d081-8033-9987-c6140376922a,1
598ae865-aad8-69d2-fd8d-b9b6f2f222d9,52d1c9cf-6ff0-d546-222b-ca29fff8127d,1
59ac654b-03f4-f773-a57d-c530b91ab685,89c71032-ab0b-2c4d-b0d3-e8cf8f213a48,1
5a0e57f8-f20f-1f51-d963-fb23ce4494b7,f347ee08-4e99-5731-937a-80c2a1f61d65,1
5a0f979a-bc14-d60d-c923-63a69e7748c3,3761f4a5-4931-003b-1aa5-18efa4440aa3,1
5a2210a9-7b9d-70d9-9416-765526119287,d313a7ad-78bd-498d-2653-b5ecdfa47f4b,1
5aa17d9e-b928-5327-3b06-be1d9a08643a,7344a08d-cae7-4624-5ecb-b6f16981b76b,1
5ab40b1a-c260-4b1d-b472-3f725048d927,d6580bd6-c8c0-bfc7-da26-2fb499b0ed79,5
5afc0cee-152c-7fc5-9f63-71e0df321aed,7484a704-967d-9230-5887-709e43cd6974,1
5aff6a15-d52b-4dcd-ba6d-aa176f731fea,544605d9-342e-aa9e-afff-96b113081ca0,1
5b13df90-6867-c30b-218f-e30e71fd472b,93b7c7a8-d9eb-7ebd-6121-593c3a655053,1
5c56202b-c1fa-078b-0c34-01886445db11,dd1aa654-ea95-fb2b-3a93-ac2fac4adb43,1
5cc40398-dd4a-4c07-8b9d-03fdab5f59ed,67708847-797d-4adf-9cec-1481aeab5271,1
5d168ff6-66f7-a9ff-609a-7c5833ba8778,df95d72b-bcb7-2789-a71a-9af0c0b63dad,1
5d2c29b5-7a50-0c76-c984-d21aa918c3fa,10048170-bf0b-9fb9-15ad-90baf31c2441,1
5d9a4a17-9594-44e9-8b57-59450b937bed,4aebab91-8ed2-22a7-f5c4-4c6a5f0fbfd3,1
5e00a325-34f1-a0ca-3cfe-bc354dc9bb9e,284e86ad-c172-a222-c8b4-6c01bd31ce91,1
5e1cc159-c69f-eb9c-795e-d708e1217479,6f17bd45-4041-234d-b8d7-1f072bfd9782,1
5e8c2906-9dbd-54f9-a013-25b46f0d6e34,0bc33c28-3436-31ae-38b5-3dcc6e1c2528,1
5f080cc4-a424-40ad-d612-941fc720ccab,4da515c5-f6c1-cbf1-b8ef-cb810e72efd9,1
5f1c45b6-574f-5250-b2d7-b4554228f096,7fd5441c-2890-69d6-0f86-5f5965ab34ba,1
5f8a7bec-1e4c-7bfa-1392-d2138ff5290c,1b6915a6-b903-0a11-a07b-73d938f9e28a,1
5ffb7597-7808-3bf9-7d36-d730d09920bc,767be629-0eb7-8602-87ee-d98759c75d95,1
601c61e3-7f75-dbd0-7146-f7347955e62e,7b91bfc0-0163-d7d7-dd81-47079de0e0da,1
60a9b4bf-b137-dc1f-de9b-2128c990906d,c249cb7a-8391-6408-5e3e-3858f918834d,1
60e9531a-01d4-9ecb-f3c7-691eb4339e2b,39e81f28-9ef8-58c7-592c-8f1825d76190,1
61462b48-9dc7-1e05-4f63-f47a236a7cc8,14ed7cff-f18c-9d6c-d217-9e72d6e4c6c5,1
61b17ed3-bfa3-7d4b-f6e3-80369f016e18,6ed623fa-b522-8cf7-a18b-8c869324439c,1
62206e5d-6179-2b87-ced6-13f68da6c497,6e7123b9-aaf4-6958-d01a-af7b0541aaac,1
622a188b-c288-5817-514f-2d2340a1d722,f1c3f37a-2511-764f-c5cd-a21d3f379299,1
62dbb90d-a96f-4c79-a34e-728ff140ae75,6d25a846-d2d9-ad3f-8348-9b096dc2cf90,1
62e3a0f4-acb1-3540-278f-d9840e6fc778,70d1b3a1-7276-9360-2621-7577e5b4d353,1
63110b5a-1dcc-c492-db61-2acff31111d3,6d63c76f-e466-344e-aeec-bff5360224af,1
639284b3-4b42-c875-a4aa-57329aaee4da,e4739c4d-cd6d-903b-4526-d391c6e47b64,1
63ce87da-1ce9-4373-3497-4f568ddda951,fdd94553-ca8d-ce09-b280-a87cf5b94f46,1
