pkid,fkdevice,fkcallingsearchspace
0fc0f030-4472-4096-afa7-f6f555ccf4e3,d363149a-189b-ec6b-e90b-86271974db65,94756ee0-3807-5588-8d82-59764f0a80da
e5e79d71-5572-4ce4-904f-2fdc282086db,d377b638-3156-02f6-0d80-5cddc6d858e8,8d67fc5b-27bf-e7b2-d3ad-d8337b74df93
2ba12bec-e19b-4a18-8361-8366a5661371,d38fbed1-94d6-8bd8-a429-e3a91058373f,55ab1590-fa01-39f0-eab1-4fcd1562301e
8f9a03f9-b036-47de-955b-12869330092e,d3c9f127-96e4-6382-e0fd-7c98d2450772,8b43c7ec-b589-e833-b754-09152f58b8e4
cf8587c8-d90d-41bc-a4ee-08cabc3050f9,db86a434-d452-06d0-5918-0202cb2220b8,f9401893-a469-0d22-f09e-034b69d209ce
b81a7a71-6a43-4770-84bb-6d540a5e94b0,d44e38ca-7df1-623a-9e62-0b471baf60c8,55ab1590-fa01-39f0-eab1-4fcd1562301e
b3543c92-2f26-4ef8-8362-4a337bd66234,b77b7822-c347-6223-cc43-eae50457f5bb,4d6f061c-e24d-1a69-9cb8-b474af634e6c
0760bc5d-4a29-4568-a42a-e6831ceb5454,d40bd88d-6c33-2383-51a8-b7825f1f22c2,55ab1590-fa01-39f0-eab1-4fcd1562301e
57f72a42-7f38-449a-999f-2ef6149d62c0,d3f63996-6be0-5987-536e-d276739aaccc,6676c5f7-06d1-7e9f-2ee5-09464c38a13e
122a3b8a-3212-4d75-836a-36367c87883f,ad5d3fbf-af8e-9fe5-f1d9-59d94204f846,8418abd4-292b-a617-4261-2ccf24d9864a
d80a08f7-5115-464a-a6bc-9a12e7150de5,d431f611-2fa8-d2ae-2c13-9398a22e8ef8,c375a960-10d9-c90f-1507-325fe6ebf5ae
02634575-f097-4f49-afa0-da7ef8babe9a,d433214a-0469-d342-8d6d-482f0540ddda,9aaf3eec-7556-0c5d-8d2a-10c46ae4e07e
78a94834-89cd-4eb2-a27b-8de84b7edad5,146e6313-a8a1-45fe-2de9-941f5662e569,02755561-3bd7-3fc7-f8ad-b31cbd2956b8
6d4bd900-8ee4-45d9-958f-e7b189c54a5a,774243c9-67d4-2c4a-452c-c55adb5095b4,fc1efe0b-90bf-e427-747f-374e0371024f
1cc02d81-fb3d-4e03-99a7-2035b69c0e75,d471fd7c-8d53-d8f3-6a12-f5e68c6c49bb,3c384259-af54-33ac-58b8-b98ee4842307
f27d40db-4f47-4645-9a62-8cc8eb428511,c6affd42-b6eb-08ad-e58c-a090e143ccb6,02755561-3bd7-3fc7-f8ad-b31cbd2956b8
49c0b595-8092-4d17-ab33-7c4f22999e87,d483a2af-aab2-afe8-8e3d-1428b871cbef,28aa48cf-5f65-f5fc-8fa7-23eea95308e3
815774c6-47df-4d63-af74-eba8cd717fee,ce8b99e5-f211-f14d-5f0f-0a482c02e9be,02755561-3bd7-3fc7-f8ad-b31cbd2956b8
4e7ea602-959b-4fdb-83bd-a2f23ecc46fc,d48d76f1-ef91-1e44-71a3-877bc065bf6a,55b31221-5a4f-cfd1-9c2a-329fdbe6dc01
ebd65859-411c-4fd0-9ce3-5d3e92365e12,72cf5281-4a73-9331-7be1-aa4ca49da0bf,a0af4e41-14bf-442d-8293-446780063481
fb793e4b-a06e-480f-8831-a7a0c638323d,d4bb60e5-dcfb-8e28-bfde-8af665a8cdc6,bf7d10ba-cbde-0e18-5ff2-20c99b86f484
e8e3c697-2043-4fc6-a3bb-d8c32d290574,d4e50d0a-d42b-ded7-8f38-9af300379384,07e7b8be-6098-b51e-1691-346be6c8b12e
0e26d4bf-bbba-4515-ad2d-9b24e9225ffe,d4e319e6-a20e-668f-699c-579080ef5796,135a381d-4966-8610-7474-c2cc2d45def4
6b692163-25b3-46f4-90ea-58bedc046f93,d5004be7-4026-a383-5d8a-df6f691d053d,55ab1590-fa01-39f0-eab1-4fcd1562301e
ef038db9-3ecc-45f0-9db0-c1235793aeb1,d50df5a4-9a0d-a9cc-c970-be987ff6e2ea,0675988d-50bc-88fc-bb4a-70190ad8cbaf
e8dc542d-2552-4ac9-a3b2-5b001ab70b70,d54b3d3c-d653-ac5f-c672-541bd3dfaa2d,55ab1590-fa01-39f0-eab1-4fcd1562301e
ae1d394d-0583-441d-892c-90775adbb05a,d5897ac3-d58b-cc83-97be-c822995c3d13,55ab1590-fa01-39f0-eab1-4fcd1562301e
f5c57c2a-9a39-4bfb-93ea-c4412f374fc1,d584f719-8bf2-1a4c-0e6f-2846f991b2dd,c00c5233-b592-b942-9966-192f36f04367
feac7df6-d6c9-4358-bf1c-4fdc2d293358,d5c5f8ef-f89a-e8b8-b259-19890188abeb,719e41b7-6890-8c88-9d14-abb6f7d0ba0c
600b1a43-c8b7-4a40-ae68-3adaca241361,d5b4dbe6-1d97-c72d-3875-572fc20ca78a,e841c1ef-f433-e59c-5464-e6f87c6bfbf1
4437989d-6fe5-40b5-a4bd-e286a837960d,075a6908-a04b-cbd9-7b64-5ca5a99672b9,02755561-3bd7-3fc7-f8ad-b31cbd2956b8
2a42e690-6d0a-4f25-9c08-c3248b0b1707,d60bc9b5-9727-b0bd-9cda-bf7121e501d9,736d7e3a-4bb2-974f-4c6c-aea44e19ba3b
